"TaxaID"	"Prevalence"	"TotalCounts"	"Percentage"
"109"	"denovo291587"	1	2	0.00565179303133919
"110"	"denovo297938"	1	2	0.00565179303133919
"111"	"denovo315417"	2	2	0.00565179303133919
"112"	"denovo319356"	1	2	0.00565179303133919
"113"	"denovo343248"	1	2	0.00565179303133919
"114"	"denovo344177"	1	2	0.00565179303133919
"115"	"denovo374155"	1	2	0.00565179303133919
"116"	"denovo382164"	1	2	0.00565179303133919
"117"	"denovo431208"	1	2	0.00565179303133919
"118"	"denovo444872"	2	2	0.00565179303133919
"119"	"denovo459097"	1	2	0.00565179303133919
"120"	"denovo475051"	2	2	0.00565179303133919
"121"	"denovo476737"	1	2	0.00565179303133919
"122"	"denovo49166"	1	2	0.00565179303133919
"123"	"denovo536756"	1	2	0.00565179303133919
"124"	"denovo556254"	1	2	0.00565179303133919
"125"	"denovo556543"	1	2	0.00565179303133919
"126"	"denovo562574"	1	2	0.00565179303133919
"127"	"denovo569461"	1	2	0.00565179303133919
"128"	"denovo593649"	1	2	0.00565179303133919
"129"	"denovo61065"	2	2	0.00565179303133919
"130"	"denovo611670"	2	2	0.00565179303133919
"131"	"denovo643733"	1	2	0.00565179303133919
"132"	"denovo679917"	1	2	0.00565179303133919
